Date,Open,High,Low,Close
2020-11-09,151.6947,152.8363,150.9881,151.2539
2020-11-10,151.7914,153.6019,151.4668,153.5529
2020-11-11,154.9539,155.2553,153.5145,153.6478
2020-11-12,153.4574,154.4753,152.9092,153.0137
2020-11-13,152.4326,153.1282,151.8232,151.8571
2020-11-16,154.1053,154.5553,153.3288,153.815
2020-11-17,154.0504,154.5812,153.1955,154.5224
2020-11-18,156.0478,156.466,155.4717,155.7223
2020-11-19,154.7197,155.1194,154.4401,155.0347
2020-11-20,156.1663,156.4448,155.071,156.1625
2020-11-23,157.387,157.6495,156.6826,157.3263
2020-11-24,157.513,159.9801,157.4683,159.7913
2020-11-25,159.9698,161.0069,159.4982,160.3857
2020-11-27,160.5463,161.0961,160.1142,160.9708
2020-11-30,160.6935,161.2818,159.3423,160.0558
2020-12-01,160.3229,160.5594,158.685,158.9394
2020-12-02,158.2703,160.4278,158.0474,159.4206
2020-12-03,159.0527,159.8179,158.6254,159.3106
2020-12-04,159.7828,160.3062,159.1074,159.8943
2020-12-07,158.3066,160.0122,158.159,158.9506
2020-12-08,158.4529,158.8886,157.8913,158.2821
2020-12-09,158.8039,159.3949,157.944,158.9208
2020-12-10,159.8391,162.7184,159.6859,161.3917
2020-12-11,161.2741,161.7769,160.7602,161.2492
2020-12-14,162.3083,162.6793,160.6699,162.2353
2020-12-15,162.4531,163.2131,162.228,163.0198
2020-12-16,163.0873,163.9792,162.7982,163.8578
2020-12-17,164.3793,165.5654,164.3001,165.4892
2020-12-18,165.6933,166.6403,165.5288,166.4534
2020-12-21,163.5804,164.9477,162.7884,164.8259
2020-12-22,164.1589,164.555,163.5016,163.6122
2020-12-23,164.1368,165.8322,163.9154,165.2841
2020-12-24,164.9248,165.7499,164.7225,165.5497
2020-12-28,165.4959,165.668,164.0232,164.1339
2020-12-29,164.8857,165.6291,164.6427,165.3742
2020-12-30,165.7854,166.7655,165.2057,166.6791
2020-12-31,166.6567,167.827,166.3362,167.7969
2021-01-04,169.2097,170.453,166.6879,167.3462
2021-01-05,168.7306,172.0533,168.4219,171.7048
2021-01-06,172.0469,172.6702,171.2073,172.1066
2021-01-07,172.2237,172.6991,171.5873,172.312
2021-01-08,172.807,173.3882,172.0646,173.3468
2021-01-11,172.4549,172.7675,171.2178,172.7273
